iter	Passed	Remaining
1141	69376	2360638
1142	69441	2360722
1143	69504	2360732
1144	69567	2360738
1145	69629	2360723
1146	69688	2360601
1147	69747	2360472
1148	69805	2360335
1149	69864	2360196
1150	69923	2360074
1151	69983	2359983
1152	70041	2359853
1153	70100	2359722
1154	70158	2359576
1155	70217	2359460
1156	70275	2359316
1157	70335	2359199
1158	70396	2359149
1159	70464	2359350
1160	70535	2359639
1161	70602	2359773
1162	70671	2359982
1163	70732	2359948
1164	70792	2359851
1165	70854	2359823
1166	70915	2359779
1167	70974	2359669
1168	71034	2359569
1169	71092	2359424
1170	71151	2359309
1171	71210	2359182
1172	71269	2359052
1173	71328	2358936
1174	71394	2359058
1175	71454	2358956
1176	71516	2358941
1177	71574	2358796
1178	71633	2358673
1179	71691	2358523
1180	71750	2358410
1181	71809	2358283
1182	71868	2358178
1183	71927	2358067
1184	71986	2357949
1185	72045	2357810
1186	72103	2357680
1187	72163	2357567
1188	72221	2357424
1189	72279	2357283
1190	72339	2357185
1191	72401	2357190
1192	72465	2357236
1193	72528	2357244
1194	72589	2357196
1195	72648	2357066
1196	72707	2356939
1197	72765	2356813
1198	72826	2356733
1199	72885	2356620
1200	72943	2356488
1201	73002	2356362
1202	73061	2356234
1203	73120	2356120
1204	73179	2356010
1205	73237	2355879
1206	73296	2355758
1207	73359	2355757
1208	73423	2355804
1209	73492	2355999
1210	73558	2356134
1211	73624	2356222
1212	73690	2356321
1213	73750	2356236
1214	73809	2356133
1215	73868	2356013
1216	73927	2355902
1217	73986	2355785
1218	74045	2355658
1219	74104	2355547
1220	74162	2355409
1221	74222	2355321
1222	74281	2355194
1223	74343	2355192
1224	74408	2355258
1225	74472	2355292
1226	74534	2355284
1227	74598	2355318
1228	74658	2355251
1229	74718	2355143
1230	74777	2355043
1231	74837	2354938
1232	74894	2354785
1233	74953	2354657
1234	75012	2354537
1235	75070	2354410
1236	75132	2354389
1237	75195	2354382
1238	75258	2354399
1239	75321	2354412
1240	75387	2354494
1241	75449	2354483
1242	75511	2354452
1243	75578	2354603
1244	75639	2354530
1245	75698	2354435
1246	75759	2354379
1247	75819	2354303
1248	75878	2354169
1249	75936	2354033
1250	75997	2353974
1251	76056	2353873
1252	76116	2353770
1253	76175	2353660
1254	76234	2353544
1255	76293	2353433
1256	76357	2353477
1257	76426	2353672
1258	76493	2353805
1259	76558	2353860
1260	76627	2354073
1261	76686	2353948
1262	76745	2353837
1263	76804	2353716
1264	76864	2353624
1265	76923	2353504
1266	76981	2353367
1267	77040	2353245
1268	77099	2353129
1269	77157	2352993
1270	77218	2352949
1271	77278	2352869
